Journal Title,ISSN,h5-index,h5-median,G_100_rank,G_BEM_rank,G_CMS_rank,G_ECS_rank,G_HMS_rank,G_HLA_rank,G_LSES_rank,G_PM_rank,G_SS_rank,Reviewer1,Reviewer2
Academic Medicine,1040-2446,64,93,,,,,,,,,9,Stefan Reichmann,TRH
Academy of Management Journal,0001-4273,84,124,,10,,,,,,,,Stefan Reichmann,TRH
Accounts of Chemical Research,1520-4898,165,236,28,,10,,,,,,,Stefan Reichmann,TRH
ACS Applied Materials & Interfaces,1944-8252,137,172,51,,15,13,,,,,,Stefan Reichmann,TRH
ACS Catalysis,2155-5435,117,158,96,,,,,,,,,Stefan Reichmann,NP
ACS Nano,1936-086X,199,279,15,,6,2,,,,,,Stefan Reichmann,NP
Advanced Energy Materials,1614-6840,128,187,65,,17,15,,,,,,Stefan Reichmann,NP
Advanced Functional Materials,1616-3028,146,203,45,,13,11,,,,,,Stefan Reichmann,NP
Advanced Materials,1521-4095,235,336,10,,4,1,,,,,,Stefan Reichmann,JL
American Economic Review,0002-8282,141,226,47,1,,,,,,,,Stefan Reichmann,JL
American Journal of Political Science,1540-5907,68,114,,,,,,,,,,Stefan Reichmann,JL
American Journal of Public Health,1541-0048,86,119,,,,,,,,,4,Stefan Reichmann,JL
American Political Science Review,1537-5943,59,94,,,,,,,,,13,Stefan Reichmann,SH
American Sociological Review,1939-8271,58,87,,,,,,,,,17,Stefan Reichmann,SH
Angewandte Chemie International Edition,1521-3773,213,295,12,,5,,,,,,,Stefan Reichmann,SH
Annals of Internal Medicine,0003-4819,127,216,68,,,,,,,,,Stefan Reichmann,SH
Annals of Oncology,1569-8041,122,185,83,,,,,,,,,Stefan Reichmann,JP
Annals of the Rheumatic Diseases,1468-2060,119,170,90,,,,,,,,,Stefan Reichmann,JP
Annals of Tourism Research,0160-7383,59,90,,,,,,,,,14,Stefan Reichmann,JP
Applied Energy,0306-2619,119,156,91,,,,,,,,,Stefan Reichmann,JP
Applied Linguistics,1477-450X,38,57,,,,,,5,,,,Stefan Reichmann,GSM
Applied Physics Letters,1077-3118,103,131,,,,,,,,12,,Stefan Reichmann,GSM
Astronomy & Astrophysics,1432-0746,115,163,,,,,,,,10,,Stefan Reichmann,GSM
Biomaterials,0142-9612,122,149,85,,,,,,,,,Stefan Reichmann,GSM
Blood,1528-0020,153,205,37,,,,14,,,,,Stefan Reichmann,GSM
BMJ,1756-1833,154,214,36,,,,13,,,,,Naomi Penfold,TRH
Cancer Cell,1535-6108,119,204,89,,,,,,,,,Naomi Penfold,TRH
Cancer Research,0099-7013,131,170,60,,,,,,,,,Naomi Penfold,TRH
Cell,1097-4172,244,366,6,,,,3,,3,,,Naomi Penfold,TRH
Cell Metabolism,1550-4131,127,176,71,,,,,,18,,,Naomi Penfold,SR
Cell Stem Cell,1934-5909,131,180,58,,,,,,14,,,Naomi Penfold,SR
"Chemical communications (Cambridge, England)",0144-557X,131,167,61,,16,,,,,,,Naomi Penfold,SR
Chemical Reviews,1520-6890,239,373,8,,2,,,,,,,Naomi Penfold,SR
Chemical Society reviews,1460-4744,256,366,5,,1,,,,,,,Naomi Penfold,JL
Chemistry of Materials,1520-5002,124,170,79,,19,20,,,,,,Naomi Penfold,JL
Circulation,0009-7322,166,251,27,,,,12,,,,,Naomi Penfold,JL
Circulation Research,1524-4571,116,177,99,,,,,,,,,Naomi Penfold,JL
Clinical Cancer Research,1557-3265,121,165,86,,,,,,,,,Naomi Penfold,SH
Computers & Education,0360-1315,91,152,,,,,,,,,1,Naomi Penfold,SH
Diabetes Care,1935-5548,129,185,64,,,,,,,,,Naomi Penfold,SH
Digital Journalism,2167-082X,42,60,,,,,,2,,,,Naomi Penfold,SH
Econometrica,1468-0262,77,143,,16,,,,,,,,Naomi Penfold,GSM
Energy and Environmental Science,1754-5706,196,330,17,,7,3,,,,,,Stefan Reichmann,GSM
Environmental Science & Technology,0013-936X,125,165,77,,,,,,19,,,Stefan Reichmann,GSM
European Heart Journal,1522-9645,149,219,40,,,,15,,,,,Stefan Reichmann,GSM
European Urology,0302-2838,122,190,82,,,,,,,,,Stefan Reichmann,JP
Gastroenterology,0016-5085,147,210,43,,,,18,,,,,Stefan Reichmann,JP
Gender & Society,1552-3977,32,57,,,,,,15,,,,Stefan Reichmann,JP
Geophysical Research Letters,1944-8007,87,116,,,,,,,,20,,Stefan Reichmann,JP
Global Environmental Change,0959-3780,88,127,,,,,,,,,3,Stefan Reichmann,GSM
Government Information Quarterly,0740-624X,59,84,,,,,,,,,15,Tony Ross-Hellauer,GSM
Gut,1468-3288,124,168,80,,,,,,,,,Tony Ross-Hellauer,GSM
Health Affairs,1544-5208,80,117,,,,,,,,,6,Tony Ross-Hellauer,GSM
Hepatology,1527-3350,128,166,66,,,,,,,,,Tony Ross-Hellauer,SR
IEEE Communications Magazine,0163-6804,119,211,88,,,,,,,,,Tony Ross-Hellauer,SR
IEEE Communications Surveys & Tutorials,1553-877X,126,221,74,,,18,,,,,,Tony Ross-Hellauer,SR
"IEEE Conference on Computer Vision and Pattern Recognition, CVPR","Only ISBN available, counts as a book",188,302,20,,,5,,,,,,Tony Ross-Hellauer,SR
IEEE International Conference on Computer Vision,2380-7504,124,204,78,,,19,,,,,,Tony Ross-Hellauer,JP
IEEE Transactions on Automatic Control,0018-9286,91,130,,,,,,,,15,,Tony Ross-Hellauer,JP
IEEE Transactions on Industrial Electronics,0278-0046,127,173,72,,,16,,,,,,Tony Ross-Hellauer,JP
